WP, 17, 2013091712, 03, HWRF, 066, 200N, 1246E,  86,  952, XX,  50, NEQ, 0105, 0119, 0123, 0102,    0,    0,  46
WP, 17, 2013091712, 03, HWRF, 066, 200N, 1246E,  86,  952, XX,  64, NEQ, 0081, 0075, 0079, 0078,    0,    0,  46
WP, 17, 2013091712, 03, HWRF, 072, 207N, 1241E,  92,  950, XX,  34, NEQ, 0209, 0350, 0220, 0308,    0,    0,  45
WP, 17, 2013091712, 03, HWRF, 072, 207N, 1241E,  92,  950, XX,  50, NEQ, 0114, 0112, 0125, 0112,    0,    0,  45
WP, 17, 2013091712, 03, HWRF, 072, 207N, 1241E,  92,  950, XX,  64, NEQ, 0090, 0083, 0086, 0070,    0,    0,  45
WP, 17, 2013091712, 03, HWRF, 078, 212N, 1235E, 101,  940, XX,  34, NEQ, 0195, 0166, 0258, 0323,    0,    0,  43
WP, 17, 2013091712, 03, HWRF, 078, 212N, 1235E, 101,  940, XX,  50, NEQ, 0107, 0115, 0119, 0114,    0,    0,  43
WP, 17, 2013091712, 03, HWRF, 078, 212N, 1235E, 101,  940, XX,  64, NEQ, 0076, 0085, 0086, 0076,    0,    0,  43
WP, 17, 2013091712, 03, HWRF, 084, 218N, 1228E, 103,  938, XX,  34, NEQ, 0178, 0172, 0269, 0278,    0,    0,  50
WP, 17, 2013091712, 03, HWRF, 084, 218N, 1228E, 103,  938, XX,  50, NEQ, 0110, 0107, 0095, 0114,    0,    0,  50
WP, 17, 2013091712, 03, HWRF, 084, 218N, 1228E, 103,  938, XX,  64, NEQ, 0086, 0081, 0077, 0080,    0,    0,  50
WP, 17, 2013091712, 03, HWRF, 090, 223N, 1222E, 102,  938, XX,  34, NEQ, 0175, 0202, 0228, 0246,    0,    0,  46
