AL, 26, 2020100312, 03, AP30, 126, 250N,  934W,  31, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 132, 261N,  937W,  41,  998, XX,  34, NEQ,  164,    0,   45,   57, 
AL, 26, 2020100312, 03, AP30, 138, 257N,  944W,  34,  997, XX,  34, NEQ,  209,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 144, 260N,  939W,  33,  997, XX,  34, NEQ,  255,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 150, 270N,  936W,  37,  999, XX,  34, NEQ,  174,    0,    0,  105, 
AL, 26, 2020100312, 03, AP30, 156, 277N,  931W,  36,  998, XX,  34, NEQ,    0,    0,    0,   98, 
AL, 26, 2020100312, 03, AP30, 162, 281N,  929W,  29, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 168, 292N,  927W,  26, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 174, 306N,  925W,  19, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 180, 309N,  920W,  18, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 186, 316N,  923W,  10, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP30, 192, 325N,  920W,   7, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AVNO,   0, 129N,  710W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 102,   0,   0, 
AL, 26, 2020100312, 03, AVNO,   6, 147N,  715W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  42,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  12, 154N,  720W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 155,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  18, 156N,  727W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  84,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  24, 163N,  746W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  67,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  30, 171N,  752W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 106,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  36, 174N,  765W,  33, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 112,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  42, 176N,  773W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 145,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  48, 176N,  779W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 134,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  54, 181N,  787W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  42,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  60, 181N,  797W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  60,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  66, 184N,  802W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  39,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  72, 193N,  810W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  46,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  78, 205N,  822W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  37,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  84, 215N,  836W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  62,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  90, 223N,  843W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  36,   0,   0, 
AL, 26, 2020100312, 03, AVNO,  96, 234N,  853W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  97,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 102, 245N,  863W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  64,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 108, 253N,  873W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  68,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 114, 261N,  884W,  32, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  25,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 120, 264N,  894W,  32, 1005, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  90,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 126, 267N,  904W,  38, 1006, XX,  34, NEQ,    0,    0,    0,   64,  -99,  -99,  51,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 132, 266N,  911W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  89,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 138, 267N,  917W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  98,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 144, 271N,  921W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  76,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 150, 274N,  923W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  99,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 156, 277N,  925W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  72,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 162, 283N,  928W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  41,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 168, 290N,  929W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 154,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 174, 293N,  926W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 139,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 180, 294N,  923W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  19,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 186, 299N,  924W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  43,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 192, 307N,  928W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  90,   0,   0, 
AL, 26, 2020100312, 03, AVNO, 198, 313N,  928W,   9, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 161,   0,   0, 
AL, 26, 2020100312, 03, CEMN,   0, 127N,  709W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CEMN,   6, 128N,  716W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  12, 137N,  726W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  24, 142N,  746W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  36, 147N,  764W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  48, 154N,  781W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  60, 159N,  796W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, CLP5,  72, 165N,  811W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
