SH, 17, 2020022100, 03, AP09, 012, 169S, 1691W,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 018, 179S, 1687W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 024, 187S, 1682W,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 030, 198S, 1675W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 036, 205S, 1671W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 042, 212S, 1665W,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 048, 213S, 1665W,  22, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 054, 216S, 1659W,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 060, 221S, 1654W,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 066, 229S, 1649W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 072, 238S, 1644W,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 078, 247S, 1639W,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 084, 259S, 1637W,  30, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 090, 274S, 1632W,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 096, 292S, 1630W,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 102, 307S, 1621W,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 108, 320S, 1619W,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 114, 329S, 1611W,  30,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 120, 339S, 1599W,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 126, 344S, 1588W,  35,  998, XX,  34, NEQ, 0000, 0170, 0088, 0000
SH, 17, 2020022100, 03, AP09, 132, 346S, 1579W,  39,  998, XX,  34, NEQ, 0000, 0257, 0115, 0082
SH, 17, 2020022100, 03, AP09, 138, 340S, 1570W,  41,  998, XX,  34, NEQ, 0000, 0365, 0152, 0131
SH, 17, 2020022100, 03, AP09, 144, 330S, 1564W,  41,  997, XX,  34, NEQ, 0000, 0281, 0187, 0136
SH, 17, 2020022100, 03, AP09, 150, 317S, 1558W,  37,  998, XX,  34, NEQ, 0000, 0563, 0317, 0000
SH, 17, 2020022100, 03, AP09, 156, 306S, 1552W,  34,  999, XX,  34, NEQ, 0000, 0565, 0000, 0000
SH, 17, 2020022100, 03, AP09, 162, 292S, 1544W,  31, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 168, 280S, 1539W,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 174, 273S, 1527W,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 180, 267S, 1522W,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 186, 264S, 1516W,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 192, 261S, 1518W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 198, 258S, 1517W,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 204, 261S, 1511W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP09, 210, 262S, 1515W,  21, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP10, 000, 156S, 1701W,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP10, 006, 163S, 1699W,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP10, 012, 172S, 1697W,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AP10, 018, 183S, 1696W,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
