AL, 05, 2020070400, 03, AP17,  12, 315N,  698W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP17,  18, 318N,  687W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP17,  24, 323N,  678W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP17,  30, 327N,  669W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP17,  36, 335N,  654W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP18,   0, 315N,  726W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP18,   6, 316N,  714W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP18,  12, 320N,  700W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP18,  18, 321N,  689W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP18,  24, 326N,  681W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP19,   0, 313N,  729W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP19,   6, 314N,  717W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP19,  12, 316N,  703W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP19,  18, 318N,  693W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP19,  24, 321N,  683W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP20,   0, 314N,  725W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP20,   6, 314N,  711W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP20,  12, 317N,  695W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP20,  18, 321N,  682W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP20,  24, 327N,  671W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AVNO,   0, 311N,  727W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  52,   0,   0, 
AL, 05, 2020070400, 03, AVNO,   6, 313N,  715W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  78,   0,   0, 
AL, 05, 2020070400, 03, AVNO,  12, 316N,  700W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  70,   0,   0, 
AL, 05, 2020070400, 03, AVNO,  18, 321N,  687W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  64,   0,   0, 
AL, 05, 2020070400, 03, AVNO,  24, 327N,  673W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  44,   0,   0, 
AL, 05, 2020070400, 03, AVNO,  30, 334N,  663W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  67,   0,   0, 
AL, 05, 2020070400, 03, AVNO,  36, 344N,  653W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  68,   0,   0, 
AL, 05, 2020070400, 03, AVNO,  42, 355N,  636W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 153,   0,   0, 
AL, 05, 2020070400, 03, CEMN,   0, 309N,  726W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,   6, 312N,  712W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  12, 316N,  699W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  18, 321N,  687W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  24, 326N,  675W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  30, 333N,  663W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  36, 339N,  650W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  42, 350N,  633W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  48, 366N,  608W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  54, 383N,  578W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  60, 395N,  550W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  66, 407N,  524W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  72, 418N,  498W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  78, 422N,  477W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CEMN,  84, 430N,  456W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  12, 302N,  702W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  24, 306N,  678W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  36, 314N,  656W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  48, 321N,  639W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  60, 335N,  626W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  72, 351N,  614W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  84, 364N,  597W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5,  96, 374N,  583W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5, 108, 390N,  573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CLP5, 120, 401N,  562W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,   0, 309N,  725W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,   6, 314N,  711W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  12, 315N,  700W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  18, 319N,  690W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  24, 325N,  679W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  30, 334N,  667W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  36, 344N,  652W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  42, 356N,  634W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  48, 373N,  610W,  34, 1010, XX,  34, NEQ,    0,   87,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  54, 388N,  582W,  36, 1010, XX,  34, NEQ,    0,  122,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  60, 400N,  546W,  36, 1011, XX,  34, NEQ,    0,  105,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  66, 412N,  516W,  34, 1009, XX,  34, NEQ,    0,   80,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  72, 423N,  489W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  78, 432N,  466W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  84, 441N,  443W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  90, 453N,  422W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC,  96, 465N,  395W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 102, 472N,  373W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 108, 476N,  348W,  22, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 114, 478N,  317W,  20, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 120, 481N,  287W,  20, 1021, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 126, 478N,  263W,  19, 1022, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 132, 473N,  240W,  19, 1024, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 138, 459N,  224W,  18, 1025, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03,  CMC, 144, 451N,  208W,  17, 1026, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, CTCX,   0, 313N,  727W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  64,   0,   0, 
AL, 05, 2020070400, 03, CTCX,   6, 314N,  717W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  68,   0,   0, 
AL, 05, 2020070400, 03, CTCX,  12, 320N,  698W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  57,   0,   0, 
AL, 05, 2020070400, 03, DSHP,   0, 300N,  730W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  12, 300N,  706W,  35,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  24, 307N,  681W,  38,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  36, 322N,  652W,  40,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  48, 342N,  610W,  45,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  60, 361N,  552W,  49,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  72, 377N,  492W,  55,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  84, 399N,  441W,  58,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP,  96, 432N,  391W,  53,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP, 108, 469N,  336W,  47,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP, 120, 499N,  268W,  38,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP, 132,   0N,    0W,  28,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, DSHP, 144,   0N,    0W,  18,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, EGRR,   0, 310N,  731W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, EGRR,  12, 312N,  704W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, EGRR,  24, 321N,  681W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,   0,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  12,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  24,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  36,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  48,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  60,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  72,   0N,    0W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  84,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN,  96,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN, 108,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, IVCN, 120,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
